"LocalService","AppId","CLSID"
,"{B8558612-DF5E-4F95-BB81-8E910B327FB2}","{B8558612-DF5E-4F95-BB81-8E910B327FB2}"
,"{3ad05575-8857-4850-9277-11b85bdb8e09}","{3ad05575-8857-4850-9277-11b85bdb8e09}"
,"{fc470800-12e0-4da3-81f3-e67240d19093}","{fc470800-12e0-4da3-81f3-e67240d19093}"
,"{E95186C7-7D80-4311-843D-0702CBC8B1E4}","{E95186C7-7D80-4311-843D-0702CBC8B1E4}"
,"{3e5ca495-8d6a-4d1f-ad99-177b426c8b8e}","{0289a7c5-91bf-4547-81ae-fec91a89dec5}"
,"{01A39A4B-90E2-4EDF-8A1C-DD9E5F526568}","{b8f87e75-d1d5-446b-931c-3f61b97bca7a}"
,"{87BB326B-E4A0-4DE1-94F0-B9F41D0C6059}","{87BB326B-E4A0-4de1-94F0-B9F41D0C6059}"
,"{FDA74D11-C4A6-4577-9F73-D7CA8586E10C}","{FDA74D11-C4A6-4577-9F73-D7CA8586E10C}"
,"{6D9A7A40-DDCA-414E-B48E-DFB032C03C1B}","{91ECFDB4-2606-43E4-8F86-E25B0CB01F1E}"
,"{6D9A7A40-DDCA-414E-B48E-DFB032C03C1B}","{A4DDCA2B-E73C-40C5-83B1-9F40269D0B0D}"
,"{6D9A7A40-DDCA-414E-B48E-DFB032C03C1B}","{AA04CA0B-7597-4F3E-99A8-36712D13D676}"
,"{6D9A7A40-DDCA-414E-B48E-DFB032C03C1B}","{8A99553A-7971-4445-93B5-AAA43D1433C5}"
,"{150F28F1-49A5-4C28-BE1A-CFA854A1D04B}","{150F28F1-49A5-4C28-BE1A-CFA854A1D04B}"
,"{6D9A7A40-DDCA-414E-B48E-DFB032C03C1B}","{0A14D3FF-EC53-450f-AA30-FFBC55BE26A2}"
,"{6D9A7A40-DDCA-414E-B48E-DFB032C03C1B}","{179CC917-3A82-40E7-9F8C-2FC8A3D2212B}"
,"{86F80216-5DD6-4F43-953B-35EF40A35AEE}","{86F80216-5DD6-4F43-953B-35EF40A35AEE}"
,"{9df523b0-a6c0-4ea9-b5f1-f4565c3ac8b8}","{9df523b0-a6c0-4ea9-b5f1-f4565c3ac8b8}"
,"{924DC564-16A6-42EB-929A-9A61FA7DA06F}","{924DC564-16A6-42EB-929A-9A61FA7DA06F}"
,"{8C334A55-DDB9-491C-817E-35A6B85D2ECB}","{8C334A55-DDB9-491c-817E-35A6B85D2ECB}"
,"{46B988E8-BEC2-401F-A1C5-16C694F26D3E}","{E5A040E9-1097-4D24-B89E-3C730036D615}"
,"{DCED8DB0-11A5-4b16-AB9D-4E28CA38C99F}","{DCED8DB0-11A5-4b16-AB9D-4E28CA38C99F}"
,"{217700E0-0000-11DF-ADB9-F4CE462D9137}","{217700E0-2001-11DF-ADB9-F4CE462D9137}"
,"{217700E0-0000-11DF-ADB9-F4CE462D9137}","{3631271D-DDD3-40f2-AC17-B13A3742BA62}"
,"{6c482a9c-033d-45fe-a01c-9722ef35e255}","{6c482a9c-033d-45fe-a01c-9722ef35e255}"
,"{534A1E02-D58F-44f0-B58B-36CBED287C7C}","{53BEDF0B-4E5B-4183-8DC9-B844344FA104}"
,"{2C5BC43E-3369-4C33-AB0C-BE9469677AF4}","{2C5BC43E-3369-4C33-AB0C-BE9469677AF4}"
,"{0671E064-7C24-4AC0-AF10-0F3055707C32}","{19BA17F2-2602-4E77-9027-103894607626}"
,"{8be0366c-8522-40be-8b08-cb26557f2854}","{aac1009f-ab33-48f9-9a21-7f5b88426a2e}"
,"{AA0B85DA-FDDF-4272-8D1D-FF9B966D75B0}","{BA7C0D29-81CA-4901-B450-634E20BB8C34}"
,"{A5065670-136D-4FD6-A45F-00C85B90359C}","{A5065670-136D-4FD6-A45F-00C85B90359C}"
,"{EA2C6B24-C590-457B-BAC8-4A0F9B13B5B8}","{EA2C6B24-C590-457B-BAC8-4A0F9B13B5B8}"
,"{40AFA0B6-3B2F-4654-8C3F-161DE85CF80E}","{40AFA0B6-3B2F-4654-8C3F-161DE85CF80E}"
,"{1C749B87-568C-4865-8E73-6413F8372CE6}","{1C749B87-568C-4865-8E73-6413F8372CE6}"
,"{549e57e9-b362-49d1-b679-b64d510efe4b}","{549e57e9-b362-49d1-b679-b64d510efe4b}"
,"{66eea0f5-001a-4073-a496-783f86fcf4c0}","{66eea0f5-001a-4073-a496-783f86fcf4c0}"
,"{2C941FD1-975B-59BE-A960-9A2A262853A5}","{2C941FC5-975B-59BE-A960-9A2A262853A5}"
,"{2C941FD1-975B-59BE-A960-9A2A262853A5}","{2C941FCE-975B-59BE-A960-9A2A262853A5}"
,"{2C941FD1-975B-59BE-A960-9A2A262853A5}","{CEEE3B62-8F56-4056-869B-EF16917E3EFC}"
,"{19833350-BF9B-42A1-BDF0-BD1FCBE1FD31}","{19833350-BF9B-42A1-BDF0-BD1FCBE1FD31}"
,"{4E14FBA2-2E22-11D1-9964-00C04FBBB345}","{CDBEC9C0-7A68-11D1-88F9-0080C7D771BF}"
,"{7B6EA1D5-03C2-4AE4-B21C-8D0515CC91B7}","{7B6EA1D5-03C2-4AE4-B21C-8D0515CC91B7}"
